name,prefecture,city,url,rating,review_count,latitude,longitude,query_used
banh mi cam on,Hokkaido,Sapporo,https://www.instagram.com/banh_mi_cam_on/,4.7,28,43.08651620000001,141.320199,banh mi
バインミー サイゴンフレッシュ 本店,Hokkaido,Sapporo,https://saigonfresh.jp/,4.5,148,43.0573518,141.339118,banh mi
サイゴンフレッシュ ポールタウン店,Hokkaido,Sapporo,https://saigonfresh.jp/,4.5,101,43.0564289,141.3530917,banh mi
ベトナムゴハン チリン堂,Hokkaido,Sapporo,https://www.facebook.com/chillinhdou/,4.4,155,43.0495262,141.3555736,banh mi
Ăn gì ? (アンジー?),Hokkaido,Sapporo,https://instagram.com/angi_vietnam333?igshid=NTc4MTIwNjQ2YQ==,4.1,20,43.0825718,141.346616,banh mi
円山Vank2,Hokkaido,Sapporo,http://www.vietnam-vank.com/,4,42,43.05791929999999,141.3211913,banh mi
Bánh mì nguyễn,Hokkaido,Sapporo,https://www.instagram.com/banhminguyensapporo,5,44,43.1600656,141.3963472,banh mi
ホア セン レストラン,Hokkaido,Sapporo,https://hoasen-sapporo.owst.jp/,4.6,190,43.0516513,141.3545714,banh mi
サイゴンレストラン 札幌店,Hokkaido,Sapporo,https://www.hotpepper.jp/strJ003516828/,4.3,80,43.0043923,141.4306734,banh mi
BIA HOI カタコト,Hokkaido,Sapporo,https://m.facebook.com/BIA-HOI-%E3%82%AB%E3%82%BF%E3%82%B3%E3%83%88-414765362021685/?locale2=ja_JP,4.4,39,43.05623509999999,141.3448979,banh mi
ベトナム屋台 アジア飯 suEzou パンチョス,Hokkaido,Sapporo,https://www.hotpepper.jp/strJ001293270/,3.3,74,43.0568227,141.3491293,banh mi
Viet Food Hokkaido,Hokkaido,Sapporo,https://vietfoodhokkaido.kiotvietweb.vn/,4.5,4,43.04796839999999,141.3425323,banh mi
ハサミヤ,Hokkaido,Sapporo,https://www.facebook.com/hasamiyasandwich,4.2,148,43.0383985,141.3526716,banh mi
vege tavola EDOYA,Hokkaido,Kitahiroshima,https://www.instagram.com/vegetavola_edoya/?hl=ja,4.5,22,42.9785265,141.5616884,banh mi
バインミーシンチャオ,Tokyo,Shinjuku City,https://www.facebook.com/B%C3%A1nh-M%C3%AC-Xin-Ch%C3%A0o-1068932589815886/?ref=settings,4.2,449,35.7126653,139.7005539,banh mi
バインミー☆サンドイッチ,Tokyo,Shinjuku City,https://twitter.com/banhmi_sandwich,4.3,634,35.7132389,139.7031536,banh mi
スタンドバインミー,Tokyo,Meguro City,https://www.instagram.com/standbanhmi/,4.3,263,35.628886,139.6877641,banh mi
BANH MI XIN CHAO CAFE ASAKUSA バインミーシンチャオカフェ 浅草,Tokyo,Taito City,http://banhmixinchao.co.jp/,4.3,409,35.7101788,139.7978598,banh mi
EBISU BANH MI BAKERY,Tokyo,Shibuya City,http://ebis-banhmi.com/,4.4,415,35.6479071,139.7102118,banh mi
バインミーバイミー,Tokyo,Suginami City,https://www.instagram.com/banhmi.byme,4.8,58,35.70508770000001,139.6469223,banh mi
寿し じん,Hokkaido,Sapporo,https://hitosara.com/0004037915/,4.1,18,43.0768774,141.3043865,banh mi
バインミー ウィン,Osaka,Osaka,https://banhmiwin.com/,4.6,236,34.7047462,135.5221031,banh mi
ベト屋 築地店,Tokyo,Chuo City,https://betoya.jp/store/tsukiji/,4.3,233,35.6676442,139.7723177,banh mi
Soc Con Fast Food バインミー リスちゃん,Tokyo,Shinjuku City,https://instagram.com/rischangbanhmi?igshid=YmMyMTA2M2Y=,4.4,57,35.701749,139.6979722,banh mi
